Reference, Quantity, Value, Footprint, LCSC Part #
C1 C3 ,2,22u,Capacitor_SMD:C_0805_2012Metric,C29277
C2 ,1,10u,Capacitor_SMD:C_1206_3216Metric,C13585
C4 ,1,10n,Capacitor_SMD:C_0805_2012Metric,C519911
C5 ,1,220u,Capacitor_SMD:CP_Elec_6.3x5.4,C3345
D1 ,1,PWR_LED,LED_SMD:LED_0805_2012Metric,C84260
D2 ,1,PWM1_STATUS,LED_SMD:LED_0805_2012Metric,C84260
D3 ,1,PWM2_STATUS,LED_SMD:LED_0805_2012Metric,C84260
D4 ,1,B340A,Diode_SMD:D_SMA,C64982
D5 ,1,PWM3_STATUS,LED_SMD:LED_0805_2012Metric,C84260
H1 H2 H3 H4 ,4,MH_Board,MountingHole:MountingHole_3.2mm_M3_Pad_Via,
H5 H6 H7 H8 ,4,MH_FAN,MountingHole:MountingHole_3.2mm_M3,
H9 H10 ,2,MH_MAX31865,MountingHole:MountingHole_3.2mm_M3,
J10 ,1,PWM_OUT1,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
J11 ,1,CONN_UART,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
J12 ,1,PWM_OUT2,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
J13 ,1,FAN_12/24v,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
J15 ,1,PWM_OUT3,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
J2 ,1,DC_INPUT,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",C784942
J3 ,1,CONN_ADXL345,Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,C144397
J4 ,1,OrangePi Zero GPIO PINs,Connector_PinSocket_2.54mm:PinSocket_2x13_P2.54mm_Vertical,
J5 ,1,Conn_MAX31865,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,C40877
J7 ,1,OrangePi Zero Function Interface,Connector_PinSocket_2.54mm:PinSocket_1x13_P2.54mm_Vertical,
J8 ,1,FAN_5v,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
J9 ,1,PWR_5v,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
L1 ,1,15u,Inductor_SMD:L_Sumida_CDMC6D28_7.25x6.5mm,C718391
Q1 ,1,AO3401A,Package_TO_SOT_SMD:SOT-23,C306862
Q2 Q3 Q4 ,3,AO3400A,Package_TO_SOT_SMD:SOT-23,C700953
R6 R9 R11 R15 ,4,10k,Resistor_SMD:R_0805_2012Metric,C84376
R12 ,1,3k,Resistor_SMD:R_0805_2012Metric,C126350
R13 ,1,240,Resistor_SMD:R_0805_2012Metric,C185292
R2 ,1,100k,Resistor_SMD:R_0805_2012Metric,C96346
R3 ,1,21k,Resistor_SMD:R_0805_2012Metric,C137569
R1 R4 R7 R10 ,4,4k7,Resistor_SMD:R_0805_2012Metric,C60816
R5 R8 R14 ,3,100,Resistor_SMD:R_0805_2012Metric,C105577
U1 ,1,TPS5430,Package_SO:TI_SO-PowerPAD-8_ThermalVias,C9864
USB1 ,1,USB_A_Port_x2,Connector_USB:USB_A_Wuerth_61400826021_Horizontal_Stacked,C12049
